# Query Group 1 Filters: diseases: Alzheimer disease | tissues: brain | cellTypes: neuron
# Query Group 2 Filters: diseases: normal | tissues: brain | cellTypes: neuron
Gene,Log Fold Change,Effect Size,Adjusted P-Value
SLC26A3,1.246,3.958,0.000e+0
RASGEF1B,2.178,3.855,0.000e+0
RP11-701H24.9,1.044,3.396,0.000e+0
LINGO1,1.797,2.873,0.000e+0
PDE4DIP,1.276,2.671,0.000e+0
AC159540.1,0.768,2.608,0.000e+0
RP11-289H16.1,0.578,2.594,0.000e+0
RP11-219A15.1,0.387,2.472,0.000e+0
LINC01609,0.386,2.370,0.000e+0
PHYHIP,0.798,2.320,0.000e+0
RP11-745L13.2,0.355,2.153,0.000e+0
LRP4,0.603,1.881,0.000e+0
SLC17A7,0.705,1.803,0.000e+0
SNCB,0.640,1.745,0.000e+0
MPHOSPH8,0.883,1.634,0.000e+0
FAIM2,0.846,1.612,0.000e+0
INO80D,0.718,1.596,0.000e+0
GDI1,0.559,1.515,0.000e+0
BCOR,0.373,1.507,0.000e+0
PRNP,0.943,1.455,0.000e+0
NCDN,0.452,1.400,0.000e+0
WASHC1,0.194,1.398,0.000e+0
GRIN1,1.044,1.392,0.000e+0
NSF,0.855,1.390,0.000e+0
CHD5,0.592,1.390,0.000e+0
NORAD,0.569,1.365,0.000e+0
HYDIN,0.404,1.350,0.000e+0
SYN1,0.483,1.342,0.000e+0
GTF2I,0.685,1.342,0.000e+0
CH17-189H20.1,0.210,1.332,0.000e+0
TSPYL1,0.524,1.298,0.000e+0
ENO2,0.617,1.262,0.000e+0
FAM85B,0.226,1.261,0.000e+0
ARHGEF25,0.154,1.250,0.000e+0
RP11-156P1.2,0.104,1.187,0.000e+0
TOLLIP,0.259,1.181,0.000e+0
SLC9A6,0.240,1.177,0.000e+0
SYNPO,0.168,1.172,0.000e+0
BCYRN1,0.480,1.170,0.000e+0
IQCJ-SCHIP1,1.321,1.170,0.000e+0
EPHB6,0.299,1.167,0.000e+0
SIRPA,0.323,1.165,0.000e+0
CBWD5,0.247,1.156,0.000e+0
FAM66D,0.243,1.125,0.000e+0
RHBDD2,0.287,1.118,0.000e+0
MUC20-OT1,0.359,1.107,0.000e+0
DNAJB2,0.269,1.101,0.000e+0
THY1,0.631,1.096,0.000e+0
LINC01106,0.118,1.092,0.000e+0
